order_month,gross_sales,discounts,sales_before_returns,refunds,net_sales,sold_units,returned_units,completed_orders,purchasing_customers,aov,unit_return_rate,net_sales_share,mom_growth,trailing_3_month_avg
2025-01,175946.00,16990.0500,158955.9500,8402.8500,150553.1000,1017,58,139,107,1083.115827338129496402877698,0.05703048180924287118977384464,0.08027381150550900013255170130,,
2025-02,149832.00,14044.1500,135787.8500,10835.0000,124952.8500,839,60,111,90,1125.701351351351351351351351,0.07151370679380214541120381406,0.06662394549149861588511105284,-0.1700413342534959426275513424,
2025-03,156584.00,13911.7500,142672.2500,9170.6500,133501.6000,882,60,120,94,1112.513333333333333333333333,0.06802721088435374149659863946,0.07118207645066000190029872653,0.06841580644218999406576160528,136335.8500
2025-04,181547.00,16444.9000,165102.1000,4474.6000,160627.5000,1050,34,130,107,1235.596153846153846153846154,0.03238095238095238095238095238,0.08564540788333914691090019667,0.2031878269623734846623561066,139693.9833333333333333333333
2025-05,143502.00,14864.7000,128637.3000,6425.0000,122212.3000,822,40,125,99,977.6984,0.04866180048661800486618004866,0.06516270428078012061458348107,-0.2391570559213086177647040513,138780.4666666666666666666667
2025-06,182389.00,15369.9000,167019.1000,8077.0000,158942.1000,1079,64,144,120,1103.764583333333333333333333,0.05931417979610750695088044486,0.08474676493336744344665135266,0.3005409439148105387100971015,147260.6333333333333333333333
2025-07,196895.00,17245.9000,179649.1000,11339.0500,168310.0500,1116,72,148,119,1137.230067567567567567567568,0.06451612903225806451612903226,0.08974168733943568805796614930,0.05893938736181288657945251761,149821.4833333333333333333333
2025-08,178535.00,15943.3000,162591.7000,8344.7000,154247.0000,1038,53,149,125,1035.214765100671140939597315,0.05105973025048169556840077071,0.08224337196172145736916544574,-0.08355442827092024510716977388,160499.7166666666666666666667
2025-09,196286.00,15563.2000,180722.8000,8220.8500,172501.9500,1094,45,142,117,1214.802464788732394366197183,0.04113345521023765996343692870,0.09197677775238595728294818871,0.1183488171568977030347429772,165019.6666666666666666666667
2025-10,204467.00,18137.1500,186329.8500,11254.5000,175075.3500,1159,75,159,109,1101.102830188679245283018868,0.06471095772217428817946505608,0.09334889580593833754573326951,0.01491809223026174486723193564,167274.7666666666666666666667
2025-11,204649.00,18507.6500,186141.3500,6866.4000,179274.9500,1149,44,149,119,1203.187583892617449664429530,0.03829416884247171453437771976,0.09558809180255704281953144520,0.02398738600265542807711079829,175617.4166666666666666666667
2025-12,200204.00,17371.6500,182832.3500,7536.5000,175295.8500,1109,43,145,113,1208.936896551724137931034483,0.03877366997294860234445446348,0.09346646479280718803455899047,-0.02219551588216870232009547346,176548.7166666666666666666667
