order_id,customer_id,order_date,order_month,channel,region,segment,gross_sales,discounts,sales_before_returns,refunds,net_sales,sold_units,returned_units,completed_orders,purchasing_customers,aov,unit_return_rate,net_sales_share
O00001,C0188,2025-03-25,2025-03,Store,South,Business,211.00,42.200,168.800,0.000,168.800,1,0,1,1,168.800,0,0.00009000292509506558963166302905
O00002,C0231,2025-08-29,2025-08,Store,West,Business,231.00,23.1000,207.9000,0.0000,207.9000,1,0,1,1,207.9000,0,0.0001108507590477733180356797615
O00003,C0023,2025-08-08,2025-08,Store,South,Consumer,831.00,41.5500,789.4500,0.0000,789.4500,8,0,1,1,789.4500,0,0.0004209289645515374984284145633
O00004,C0237,2025-11-13,2025-11,Store,South,Consumer,821.00,67.8000,753.2000,0.0000,753.2000,4,0,1,1,753.2000,0,0.0004016007297488353205602404827
O00005,C0270,2025-10-16,2025-10,Store,East,Business,1263.00,199.2500,1063.7500,0.0000,1063.7500,12,0,1,1,1063.7500,0,0.0005671837178310190815798669855
O00007,C0228,2025-11-09,2025-11,Online,East,Business,959.00,56.7000,902.3000,0.0000,902.3000,5,0,1,1,902.3000,0,0.0004810997589649151749090613217
O00008,C0010,2025-03-17,2025-03,Online,West,Consumer,414.00,28.4000,385.6000,0.0000,385.6000,3,0,1,1,385.6000,0,0.0002055990990323299251301496683
O00009,C0286,2025-11-04,2025-11,Online,West,Business,477.00,5.2500,471.7500,0.0000,471.7500,7,0,1,1,471.7500,0,0.0002515336487772345492223757936
O00010,C0109,2025-07-03,2025-07,Store,West,Business,796.00,0.0000,796.0000,0.0000,796.0000,4,0,1,1,796.0000,0,0.0004244213766331292022914915351
O00011,C0280,2025-10-20,2025-10,Store,North,Business,2828.00,77.3500,2750.6500,406.6500,2344.0000,11,2,1,1,2344.0000,0.1818181818181818181818181818,0.001249803651794038756496552963
O00012,C0293,2025-12-02,2025-12,Online,North,Business,1372.00,146.8000,1225.2000,0.0000,1225.2000,13,0,1,1,1225.2000,0,0.0006532676766971229882506726492
O00013,C0250,2025-05-23,2025-05,Online,West,Consumer,268.00,53.6000,214.4000,0.0000,214.4000,2,0,1,1,214.4000,0,0.0001143165114951543982051454587
O00014,C0064,2025-07-10,2025-07,Online,North,Business,320.00,16.0000,304.0000,304.0000,0.0000,4,4,1,1,0.0000,1,0
O00015,C0056,2025-08-12,2025-08,Store,North,Consumer,3232.00,307.5000,2924.5000,0.0000,2924.5000,12,0,1,1,2924.5000,0,0.001559322004979379839323450998
O00016,C0275,2025-06-01,2025-06,Store,East,Business,1975.00,137.9500,1837.0500,0.0000,1837.0500,9,0,1,1,1837.0500,0,0.0009795016205325251269718398549
O00017,C0135,2025-09-30,2025-09,Store,West,Consumer,1984.00,159.5000,1824.5000,0.0000,1824.5000,10,0,1,1,1824.5000,0,0.0009728100523456585798754099319
O00018,C0212,2025-02-24,2025-02,Online,East,Consumer,1294.00,28.3500,1265.6500,359.1000,906.5500,11,2,1,1,906.5500,0.1818181818181818181818181818,0.0004833658278728181888660196622
O00019,C0117,2025-11-01,2025-11,Online,North,Consumer,762.00,38.1000,723.9000,0.0000,723.9000,3,0,1,1,723.9000,0,0.0003859781841014098361040335707
O00020,C0076,2025-03-24,2025-03,Store,East,Consumer,1256.00,46.2000,1209.8000,422.0000,787.8000,8,2,1,1,787.8000,0.25,0.0004200491966225869165392425017
