product_id,product_name,category,gross_sales,discounts,sales_before_returns,refunds,net_sales,sold_units,returned_units,completed_orders,purchasing_customers,aov,unit_return_rate,net_sales_share,net_sales_rank
P014,Chair 014,Furniture,180222.00,15920.1000,164301.9000,8129.1000,156172.8000,613,29,188,139,830.7063829787234042553191489,0.04730831973898858075040783034,0.08327019443297783955229729800,1
P017,Lamp 017,Lighting,157800.00,12180.0000,145620.0000,8100.0000,137520.0000,526,30,175,132,785.8285714285714285714285714,0.05703422053231939163498098859,0.07332465793289940690844964310,2
P013,Lamp 013,Lighting,157180.00,15799.3000,141380.7000,6991.8000,134388.9000,580,29,176,137,763.5732954545454545454545455,0.05,0.07165517831936172996712440548,3
P002,Chair 002,Furniture,139444.00,13248.6000,126195.4000,3834.0000,122361.4000,491,15,158,123,774.4392405063291139240506329,0.03054989816700610997963340122,0.06524220330999620046893230191,4
P021,Lamp 021,Lighting,137946.00,11765.2500,126180.7500,8080.0500,118100.7000,554,35,183,142,645.3590163934426229508196721,0.06317689530685920577617328520,0.06297042924037211304154114867,5
P018,Chair 018,Furniture,132886.00,11526.6500,121359.3500,7128.5000,114230.8500,494,29,163,128,700.8027607361963190184049080,0.05870445344129554655870445344,0.06090705353137247102710932892,6
P015,Shelf 015,Storage,130556.00,13322.3000,117233.7000,6731.0000,110502.7000,514,29,159,120,694.9855345911949685534591195,0.05642023346303501945525291829,0.05891923122572573656037186137,7
P016,Desk 016,Furniture,122661.00,9528.7500,113132.2500,5520.9000,107611.3500,531,26,175,134,614.9220,0.04896421845574387947269303202,0.05737758455822800022991268543,8
P020,Desk 020,Furniture,107730.00,9516.1500,98213.8500,4110.7500,94103.1000,570,24,172,129,547.1110465116279069767441860,0.04210526315789473684210526316,0.05017508448171485004542268477,9
P003,Shelf 003,Storage,106465.00,10507.2000,95957.8000,3253.6500,92704.1500,535,19,162,128,572.2478395061728395061728395,0.03551401869158878504672897196,0.04942917457613580972187283290,10
P010,Chair 010,Furniture,108032.00,10001.4000,98030.6000,5433.2500,92597.3500,512,28,160,130,578.7334375,0.0546875,0.04937222959746191751231915037,11
P008,Desk 008,Furniture,89112.00,7360.2000,81751.8000,2500.4000,79251.4000,474,15,159,123,498.4364779874213836477987421,0.03164556962025316455696202532,0.04225626669359645183729134704,12
P006,Chair 006,Furniture,89376.00,8545.6000,80830.4000,5135.2000,75695.2000,456,29,155,127,488.3561290322580645161290323,0.06359649122807017543859649123,0.04036012687000005225288305282,13
P004,Desk 004,Furniture,68511.00,6020.8500,62490.1500,3788.4000,58701.7500,557,34,177,141,331.6483050847457627118644068,0.06104129263913824057450628366,0.03129934365046958812891276786,14
P012,Desk 012,Furniture,66196.00,6378.4000,59817.6000,1902.8000,57914.8000,494,16,158,125,366.5493670886075949367088608,0.03238866396761133603238866397,0.03087974766762858181516491703,15
P022,Chair 022,Furniture,66062.00,5467.2000,60594.8000,4388.5000,56206.3000,493,36,162,123,346.9524691358024691358024691,0.07302231237322515212981744422,0.02996878796665157020446766416,16
P001,Lamp 001,Lighting,64782.00,5740.1000,59041.9000,3995.5000,55046.4000,531,36,165,129,333.6145454545454545454545455,0.06779661016949152542372881356,0.02935033777223352176007331613,17
P009,Lamp 009,Lighting,49755.00,4250.1000,45504.9000,2185.5000,43319.4000,535,25,163,127,265.7631901840490797546012270,0.04672897196261682242990654206,0.02309758716447384066048497287,18
P024,Desk 024,Furniture,42120.00,3782.7000,38337.3000,1620.0000,36717.3000,520,22,168,129,218.5553571428571428571428571,0.04230769230769230769230769231,0.01957739574403466690866505294,19
P019,Shelf 019,Storage,38532.00,3533.4000,34998.6000,2078.7000,32919.9000,494,30,155,117,212.3864516129032258064516129,0.06072874493927125506072874494,0.01755264984500621862627597008,20
P011,Shelf 011,Storage,35200.00,3376.0000,31824.0000,1712.0000,30112.0000,440,24,142,114,212.0563380281690140845070423,0.05454545454545454545454545455,0.01605549810700601324045401144,21
P005,Lamp 005,Lighting,31395.00,2515.5000,28879.5000,1225.2500,27654.2500,483,20,150,114,184.3616666666666666666666667,0.04140786749482401656314699793,0.01474504378738280558099180877,22
P023,Shelf 023,Storage,31688.00,2573.8000,29114.2000,1815.6000,27298.6000,466,28,141,112,193.6070921985815602836879433,0.06008583690987124463519313305,0.01455541380924263924833481259,23
P007,Shelf 007,Storage,17185.00,1534.7500,15650.2500,1286.2500,14364.0000,491,40,163,128,88.12269938650306748466257669,0.08146639511201629327902240326,0.007658779716027974700646965339,24
