order_line_id,order_id,product_id,quantity,unit_price,discount_rate,source_row
L000001,O00001,P010,1,211.00,0.2,2
L000002,O00002,P016,1,231.00,0.10,3
L000003,O00003,P024,3,81.00,0.05,4
L000004,O00003,P012,3,134.00,0.05,5
L000005,O00003,P009,2,93.00,0.05,6
L000006,O00004,P022,2,134.00,0.20,7
L000007,O00004,P002,1,284.00,0.05,8
L000008,O00004,P018,1,269.00,0.00,9
L000009,O00005,P006,2,196.00,0.20,10
L000010,O00005,P008,2,188.00,0.10,11
L000011,O00005,P019,5,78.00,0.20,12
L000012,O00005,P007,3,35.00,0.05,13
L000013,O00006,P013,2,271.00,0.00,14
L000014,O00006,P012,1,134.00,0.20,15
L000015,O00006,P018,2,269.00,0.00,16
L000016,O00007,P020,3,189.00,0.10,17
L000017,O00007,P006,2,196.00,0.00,18
L000018,O00008,P005,2,65.00,0.00,19
L000019,O00008,P002,1,284.00,0.10,20
L000020,O00009,P009,4,93.00,0.00,21
L000021,O00009,P007,3,35.00,0.05,22
L000022,O00010,P003,4,199.00,0.00,23
L000023,O00011,P010,2,211.00,0.05,24
L000024,O00011,P020,1,189.00,0.10,25
L000025,O00011,P014,5,294.00,0.00,26
L000026,O00011,P021,3,249.00,0.05,27
L000027,O00012,P020,2,189.00,0.20,28
L000028,O00012,P019,3,78.00,0.20,29
L000029,O00012,P001,4,122.00,0.05,30
L000030,O00012,P023,4,68.00,0.00,31
L000031,O00013,P022,2,134.00,0.20,32
L000032,O00014,P011,4,80.00,0.05,33
L000033,O00015,P008,1,188.00,0.10,34
L000034,O00015,P018,4,269.00,0.20,35
L000035,O00015,P021,2,249.00,0.00,36
L000036,O00015,P014,5,294.00,0.05,37
L000037,O00016,P006,4,196.00,0.10,38
L000038,O00016,P016,3,231.00,0.05,39
L000039,O00016,P021,2,249.00,0.05,40
L000040,O00017,P012,3,134.00,0.20,41
L000041,O00017,P024,2,81.00,0.05,42
L000042,O00017,P002,5,284.00,0.05,43
L000043,O00018,P005,5,65.00,0.00,44
L000044,O00018,P012,3,134.00,0.00,45
L000045,O00018,P020,3,189.00,0.05,46
L000046,O00019,P015,3,254.00,0.05,47
L000047,O00020,P010,2,211.00,0.00,48
L000048,O00020,P016,2,231.00,0.10,49
L000049,O00020,P009,4,93.00,0.00,50
L000050,O00021,P022,1,134.00,0.10,51
L000051,O00021,P008,3,188.00,0.20,52
L000052,O00022,P009,5,93.00,0.10,53
L000053,O00022,P011,3,80.00,0.10,54
L000054,O00022,P012,4,134.00,0.00,55
L000055,O00023,P023,3,68.00,0.05,56
L000056,O00023,P011,2,80.00,0.10,57
L000057,O00024,P001,4,122.00,0.00,58
L000058,O00024,P006,3,196.00,0.20,59
L000059,O00025,P015,4,254.00,0.05,60
L000060,O00026,P011,1,80.00,0.20,61
L000061,O00026,P008,1,188.00,0.00,62
L000062,O00027,P017,1,300.00,0.05,63
L000063,O00027,P001,5,122.00,0,64
L000064,O00028,P010,3,211.00,0.00,65
L000065,O00028,P003,1,199.00,0.00,66
L000066,O00028,P024,3,81.00,0.05,67
L000067,O00029,P016,2,231.00,0.05,68
L000068,O00029,P019,4,78.00,0.00,69
L000069,O00030,P017,1,300.00,0.00,70
L000070,O00030,P005,5,65.00,0.20,71
L000071,O00030,P023,2,68.00,0.20,72
L000072,O00030,P008,5,188.00,0.00,73
L000073,O00031,P008,4,188.00,0.20,74
L000074,O00032,P022,2,134.00,0.10,75
L000075,O00032,P017,3,300.00,0.05,76
L000076,O00032,P009,2,93.00,0.20,77
L000077,O00033,P019,4,78.00,0.20,78
L000078,O00033,P021,1,249.00,0.05,79
L000079,O00033,P017,1,300.00,0.05,80
L000080,O00033,P007,1,35.00,0.05,81
L000081,O00034,P024,5,81.00,0.20,82
L000082,O00035,P003,2,199.00,0.05,83
L000083,O00036,P019,1,78.00,0.00,84
L000084,O00036,P004,5,123.00,0.20,85
L000085,O00036,P023,4,68.00,0.10,86
L000086,O00036,P015,3,254.00,0.20,87
L000087,O00037,P004,3,123.00,0.05,88
L000088,O00037,P016,3,231.00,0.00,89
L000089,O00037,P008,3,188.00,0.00,90
L000090,O00037,P011,3,80.00,0.10,91
L000091,O00038,P007,1,35.00,0.05,92
L000092,O00039,P006,3,196.00,0.05,93
L000093,O00040,P007,5,35.00,0.00,94
L000094,O00040,P009,1,93.00,0.05,95
L000095,O00040,P014,3,294.00,0.10,96
L000096,O00041,P010,1,211.00,0.10,97
L000097,O00041,P008,3,188.00,0.10,98
L000098,O00041,P015,1,254.00,0.20,99
L000099,O00042,P021,2,249.00,0.05,100
L000100,O00042,P003,5,199.00,0.20,101
L000101,O00043,P019,2,78.00,0.05,102
L000102,O00044,P014,5,294.00,0.00,103
L000103,O00044,P001,3,122.00,0.10,104
L000104,O00044,P002,1,284.00,0.05,105
L000105,O00045,P017,2,300.00,0.05,106
L000106,O00045,P014,1,294.00,0.00,107
L000107,O00045,P018,2,269.00,0.05,108
L000108,O00046,P016,4,231.00,0.05,109
L000109,O00047,P006,4,196.00,0.05,110
L000110,O00047,P018,5,269.00,0.05,111
L000111,O00047,P005,1,65.00,0.10,112
L000112,O00047,P004,2,123.00,0.00,113
L000113,O00048,P006,1,196.00,0.10,114
L000114,O00048,P010,5,211.00,0.10,115
L000115,O00049,P006,4,196.00,0.00,116
L000116,O00049,P022,4,134.00,0.05,117
L000117,O00050,P018,1,269.00,0.00,118
L000118,O00050,P001,5,122.00,0.20,119
L000119,O00051,P016,5,231.00,0.05,120
L000120,O00051,P009,5,93.00,0.20,121
L000121,O00051,P008,4,188.00,0.10,122
L000122,O00052,P014,3,294.00,0.10,123
L000123,O00053,P015,1,254.00,0.20,124
L000124,O00053,P017,4,300.00,0.20,125
L000125,O00053,P024,5,81.00,0,126
L000126,O00054,P007,1,35.00,0.00,127
L000127,O00054,P001,3,122.00,0.20,128
L000128,O00055,P002,4,284.00,0.20,129
L000129,O00056,P002,4,284.00,0.20,130
L000130,O00056,P021,1,249.00,0.05,131
L000131,O00056,P003,2,199.00,0.10,132
L000132,O00057,P004,1,123.00,0.05,133
L000133,O00057,P001,3,122.00,0.20,134
L000134,O00057,P023,3,68.00,0.20,135
L000135,O00058,P005,3,65.00,0.05,136
L000136,O00058,P003,2,199.00,0.05,137
L000137,O00058,P001,5,122.00,0.10,138
L000138,O00059,P014,1,294.00,0.00,139
L000139,O00059,P016,1,231.00,0.05,140
L000140,O00059,P016,2,231.00,0.05,141
L000141,O00059,P022,2,134.00,0.00,142
L000142,O00060,P003,4,199.00,0.20,143
L000143,O00060,P015,5,254.00,0.10,144
L000144,O00061,P008,4,188.00,0.05,145
L000145,O00062,P006,3,196.00,0.10,146
L000146,O00063,P007,2,35.00,0.20,147
L000147,O00063,P001,5,122.00,0.10,148
L000148,O00064,P018,4,269.00,0.05,149
L000149,O00064,P010,4,211.00,0.10,150
L000150,O00065,P010,1,211.00,0.20,151
L000151,O00065,P013,2,271.00,0.20,152
L000152,O00065,P010,4,211.00,0.20,153
