order_id,customer_id,order_date,channel,status,source_row
O00001,C0188,2025-03-25,Store,Completed,2
O00002,C0231,2025-08-29,Store,Completed,3
O00003,C0023,2025-08-08,Store,Completed,4
O00004,C0237,2025-11-13,Store,Completed,5
O00005,C0270,2025-10-16,Store,Completed,6
O00006,C0253,2025-10-14,Online,Cancelled,7
O00007,C0228,2025-11-09,Online,Completed,8
O00008,C0010,2025-03-17,Online,Completed,9
O00009,C0286,2025-11-04,Online,Completed,10
O00010,C0109,2025-07-03,Store,Completed,11
O00011,C0280,2025-10-20,Store,Completed,12
O00012,C0293,2025-12-02,Online,Completed,13
O00013,C0250,2025-05-23,Online,Completed,14
O00014,C0064,2025-07-10,Online,Completed,15
O00015,C0056,2025-08-12,Store,Completed,16
O00016,C0275,2025-06-01,Store,Completed,17
O00017,C0135,2025-09-30,Store,Completed,18
O00018,C0212,2025-02-24,Online,Completed,19
O00019,C0117,2025-11-01,Online,Completed,20
O00020,C0076,2025-03-24,Store,Completed,21
O00021,C0298,2025-09-06,Store,Completed,22
O00022,C0058,2025-10-21,Store,Completed,23
O00023,C0152,2025-03-04,Online,Completed,24
O00024,C0047,2025-05-10,Online,Cancelled,25
O00025,C0085,2025-12-03,Online,Completed,26
O00026,C0062,2025-05-16,Store,Completed,27
O00027,C0149,2025-05-19,Online,Completed,28
O00028,C0042,2025-04-22,Store,Completed,29
O00029,C0001,2025-11-30,Store,Completed,30
O00030,C0025,2025-12-11,Online,Completed,31
O00031,C0142,2025-11-08,Store,Completed,32
O00032,C0156,2025-08-06,Store,Cancelled,33
O00033,C0298,2025-10-26,Store,Cancelled,34
O00034,C0080,2025-05-28,Online,Completed,35
O00035,C0106,2025-01-03,Online,Completed,36
O00036,C0212,2025-04-16,Online,Completed,37
O00037,C0157,2025-06-21,Online,Completed,38
O00038,C0195,2025-02-27,Store,Completed,39
O00039,C0062,2025-01-31,Online,Completed,40
O00040,C0276,2025-08-08,Store,Completed,41
O00041,C0184,2025-10-15,Store,Cancelled,42
O00042,C0241,2025-06-25,Online,Completed,43
O00043,C0259,2025-08-14,Online,Completed,44
O00044,C0290,2025-10-04,Store,Completed,45
O00045,C0118,2025-08-25,Store,Completed,46
O00046,C0208,2025-04-08,Online,Completed,47
O00047,C0297,2025-06-07,Store,Completed,48
O00048,C0143,2025-11-30,Online,Completed,49
O00049,C0259,2025-04-12,Store,Completed,50
O00050,C0256,2025-04-09,Online,Completed,51
O00051,C0178,2025-06-26,Store,Completed,52
O00052,C0198,2025-11-11,Store,Completed,53
O00053,C0114,2025-08-30,Store,Completed,54
O00054,C0174,2025-05-04,Online,Completed,55
O00055,C0126,2025-06-21,Store,Completed,56
O00056,C0130,2025-04-19,Store,Completed,57
O00057,C0285,2025-08-11,Store,Completed,58
O00058,C0151,2025-04-19,Store,Completed,59
O00059,C0277,2025-06-20,Store,Completed,60
O00060,C0140,2025-12-08,Online,Completed,61
O00061,C0242,2025-10-16,Online,Completed,62
O00062,C0271,2025-05-22,Store,Completed,63
O00063,C0256,2025-06-23,Online,Completed,64
O00064,C0016,2025-05-25,Online,Completed,65
O00065,C0122,2025-12-17,Online,Completed,66
O00066,C0076,2025-10-06,Online,Completed,67
O00067,C0251,2025-08-05,Online,Completed,68
O00068,C0005,2025-06-29,Online,Completed,69
O00069,C0139,2025-12-01,Store,Completed,70
O00070,C0230,2025-11-15,Online,Completed,71
O00071,C0020,2025-02-16,Store,Completed,72
O00072,C0127,2025-01-01,Store,Cancelled,73
O00073,C0265,2025-12-04,Online,Cancelled,74
O00074,C0026,2025-10-23,Store,Completed,75
O00075,C0225,2025-11-06,Store,Completed,76
O00076,C0270,2025-01-02,Online,Completed,77
O00077,C0274,2025-11-22,Store,Cancelled,78
O00078,C0180,2025-09-24,Online,Completed,79
O00079,C0106,2025-06-15,Online,Completed,80
O00080,C0063,2025-08-27,Store,Completed,81
O00081,C0094,2025-06-05,Online,Completed,82
O00082,C0225,2025-04-07,Online,Completed,83
O00083,C0136,2025-02-08,Store,Completed,84
O00084,C0223,2025-06-27,Store,Completed,85
O00085,C0108,2025-03-27,Store,Completed,86
O00086,C0279,2025-01-27,Online,Completed,87
O00087,C0129,2025-10-13,Online,Completed,88
O00088,C0006,2025-04-19,Store,Completed,89
O00089,C0020,2025-08-12,Store,Completed,90
O00090,C0111,2025-12-27,Online,Completed,91
O00091,C0062,2025-08-23,Store,Completed,92
O00092,C0028,2025-03-08,Store,Cancelled,93
