return_id,order_line_id,return_date,return_quantity,reason,source_row
R00001,L000024,2025-10-21,1,Not Needed,2
R00002,L000026,2025-11-18,1,Wrong Item,3
R00003,L000032,2025-08-08,4,Damaged,4
R00004,L000045,2025-03-05,2,Damaged,5
R00005,L000047,2025-03-26,2,Not Needed,6
R00006,L000052,2025-10-31,1,Wrong Item,7
R00007,L000087,2025-07-04,1,Wrong Item,8
R00008,L000094,2025-09-01,1,Not Needed,9
R00009,L000116,2025-05-10,3,Damaged,10
R00010,L000138,2025-07-20,1,Not Needed,11
R00011,L000158,2025-08-19,2,Damaged,12
R00012,L000165,2025-11-24,1,Damaged,13
R00013,L000166,2025-12-01,2,Wrong Item,14
R00014,L000204,2025-03-04,3,Damaged,15
R00015,L000206,2025-07-14,5,Not Needed,16
R00016,L000248,2025-09-16,2,Damaged,17
R00017,L000280,2025-07-03,1,Wrong Item,18
R00018,L000309,2025-10-06,1,Wrong Item,19
R00019,L000339,2025-11-27,2,Wrong Item,20
R00020,L000349,2025-08-24,4,Not Needed,21
R00021,L000371,2025-11-19,2,Wrong Item,22
R00022,L000391,2025-06-24,1,Damaged,23
R00023,L000457,2025-02-14,5,Wrong Item,24
R00024,L000464,2025-12-10,5,Wrong Item,25
R00025,L000483,2025-09-24,2,Wrong Item,26
R00026,L000494,2025-01-20,1,Not Needed,27
R00027,L000504,2025-05-02,1,Wrong Item,28
R00028,L000513,2025-02-09,2,Wrong Item,29
R00029,L000522,2025-10-06,1,Not Needed,30
R00030,L000531,2026-01-10,1,Damaged,31
R00031,L000545,2025-03-22,3,Not Needed,32
R00032,L000560,2025-09-09,1,Damaged,33
R00033,L000563,2025-05-18,4,Damaged,34
R00034,L000568,2025-04-18,1,Damaged,35
R00035,L000581,2025-07-07,1,Not Needed,36
R00036,L000583,2025-07-01,1,Not Needed,37
R00037,L000618,2025-03-11,1,Wrong Item,38
R00038,L000639,2025-02-06,3,Damaged,39
R00039,L000640,2025-02-15,2,Wrong Item,40
R00040,L000647,2025-03-15,2,Not Needed,41
R00041,L000649,2025-07-27,2,Not Needed,42
R00042,L000677,2025-09-04,1,Wrong Item,43
R00043,L000687,2025-08-05,1,Not Needed,44
R00044,L000694,2025-11-14,3,Wrong Item,45
R00045,L000750,2025-11-11,3,Damaged,46
R00046,L000760,2025-12-06,1,Wrong Item,47
R00047,L000780,2025-12-21,4,Damaged,48
R00048,L000781,2026-01-04,5,Damaged,49
R00049,L000786,2025-06-12,2,Wrong Item,50
R00050,L000800,2025-10-17,3,Wrong Item,51
R00051,L000803,2025-03-25,2,Wrong Item,52
R00052,L000810,2025-05-19,2,Damaged,53
R00053,L000815,2025-10-26,1,Wrong Item,54
R00054,L000816,2025-10-17,1,Damaged,55
R00055,L000821,2025-11-20,5,Not Needed,56
R00056,L000825,2025-07-15,2,Wrong Item,57
R00057,L000832,2025-10-17,1,Not Needed,58
R00058,L000842,2025-06-26,1,Damaged,59
R00059,L000851,2025-03-11,1,Wrong Item,60
R00060,L000861,2025-07-31,2,Damaged,61
R00061,L000872,2025-02-12,1,Not Needed,62
R00062,L000904,2025-05-17,4,Not Needed,63
R00063,L000907,2025-06-05,1,Wrong Item,64
R00064,L000924,2025-12-23,4,Not Needed,65
R00065,L000925,2025-06-06,1,Not Needed,66
R00066,L000933,2025-02-18,2,Not Needed,67
R00067,L000946,2025-06-03,3,Damaged,68
R00068,L000970,2025-02-07,1,Damaged,69
R00069,L000979,2025-04-09,5,Wrong Item,70
R00070,L000982,2025-04-01,1,Not Needed,71
R00071,L000991,2025-08-21,1,Not Needed,72
R00072,L000994,2025-05-14,1,Wrong Item,73
R00073,L001004,2025-03-06,3,Wrong Item,74
R00074,L001010,2025-04-11,1,Wrong Item,75
R00075,L001016,2025-08-31,1,Damaged,76
R00076,L001032,2025-09-06,1,Not Needed,77
R00077,L001043,2025-09-07,4,Wrong Item,78
R00078,L001058,2025-05-12,1,Damaged,79
R00079,L001061,2025-08-18,1,Wrong Item,80
R00080,L001062,2025-04-06,4,Damaged,81
R00081,L001081,2026-01-04,1,Not Needed,82
R00082,L001096,2025-03-01,1,Damaged,83
R00083,L001106,2025-06-05,4,Damaged,84
R00084,L001138,2025-10-02,1,Not Needed,85
R00085,L001139,2025-10-05,1,Damaged,86
R00086,L001146,2025-09-24,2,Damaged,87
R00087,L001159,2025-04-26,1,Damaged,88
R00088,L001174,2025-01-27,1,Not Needed,89
R00089,L001179,2025-04-14,4,Wrong Item,90
R00090,L001224,2025-07-19,2,Damaged,91
R00091,L001231,2025-11-07,2,Damaged,92
R00092,L001258,2025-09-08,1,Wrong Item,93
R00093,L001286,2025-01-18,1,Wrong Item,94
R00094,L001293,2025-11-29,1,Damaged,95
R00095,L001295,2025-11-10,2,Damaged,96
R00096,L001313,2025-12-28,1,Damaged,97
R00097,L001316,2025-02-22,1,Not Needed,98
R00098,L001319,2025-07-22,4,Not Needed,99
R00099,L001324,2025-01-16,3,Damaged,100
R00100,L001338,2025-11-16,4,Wrong Item,101
R00101,L001339,2025-11-20,1,Not Needed,102
R00102,L001348,2025-06-27,1,Wrong Item,103
R00103,L001378,2025-09-16,2,Not Needed,104
