order_line_id,order_id,product_id,quantity,unit_price,discount_rate
L000001,O00001,P010,1,$211.00,20%
L000002,O00002,P016,1,231.00,0.10
L000003,O00003,P024,3,81.00,0.05
L000004,O00003,P012,3,134.00,0.05
L000005,O00003,P009,2,93.00,0.05
L000006,O00004,P022,2,134.00,0.20
L000007,O00004,P002,1,284.00,0.05
L000008,O00004,P018,1,269.00,0.00
L000009,O00005,P006,2,196.00,0.20
L000010,O00005,P008,2,188.00,0.10
L000011,O00005,P019,5,78.00,0.20
L000012,O00005,P007,3,35.00,0.05
L000013,O00006,P013,2,271.00,0.00
L000014,O00006,P012,1,134.00,0.20
L000015,O00006,P018,2,269.00,0.00
L000016,O00007,P020,3,189.00,0.10
L000017,O00007,P006,2,196.00,0.00
L000018,O00008,P005,2,65.00,0.00
L000019,O00008,P002,1,284.00,0.10
L000020,O00009,P009,4,93.00,0.00
L000021,O00009,P007,3,35.00,0.05
L000022,O00010,P003,4,199.00,0.00
L000023,O00011,P010,2,211.00,0.05
L000024,O00011,P020,1,189.00,0.10
L000025,O00011,P014,5,294.00,0.00
L000026,O00011,P021,3,249.00,0.05
L000027,O00012,P020,2,189.00,0.20
L000028,O00012,P019,3,78.00,0.20
L000029,O00012,P001,4,122.00,0.05
L000030,O00012,P023,4,$68.00,0.00
L000031,O00013,P022,2,134.00,0.20
L000032,O00014,P011,4,80.00,5%
L000033,O00015,P008,1,188.00,0.10
L000034,O00015,P018,4,269.00,0.20
L000035,O00015,P021,2,249.00,0.00
L000036,O00015,P014,5,294.00,0.05
L000037,O00016,P006,4,196.00,0.10
L000038,O00016,P016,3,231.00,0.05
L000039,O00016,P021,2,249.00,0.05
L000040,O00017,P012,3,134.00,0.20
L000041,O00017,P024,2,81.00,0.05
L000042,O00017,P002,5,284.00,0.05
L000043,O00018,P005,5,65.00,0.00
L000044,O00018,P012,3,134.00,0.00
L000045,O00018,P020,3,189.00,0.05
L000046,O00019,P015,3,254.00,0.05
L000047,O00020,P010,2,211.00,0.00
L000048,O00020,P016,2,231.00,0.10
L000049,O00020,P009,4,93.00,0.00
L000050,O00021,P022,1,134.00,0.10
L000051,O00021,P008,3,188.00,0.20
L000052,O00022,P009,5,93.00,0.10
L000053,O00022,P011,3,80.00,0.10
L000054,O00022,P012,4,134.00,0.00
L000055,O00023,P023,3,68.00,0.05
L000056,O00023,P011,2,80.00,0.10
L000057,O00024,P001,4,122.00,0.00
L000058,O00024,P006,3,196.00,0.20
L000059,O00025,P015,4,$254.00,0.05
L000060,O00026,P011,1,80.00,0.20
L000061,O00026,P008,1,188.00,0.00
L000062,O00027,P017,1,300.00,0.05
L000063,O00027,P001,5,122.00,0%
L000064,O00028,P010,3,211.00,0.00
L000065,O00028,P003,1,199.00,0.00
L000066,O00028,P024,3,81.00,0.05
L000067,O00029,P016,2,231.00,0.05
L000068,O00029,P019,4,78.00,0.00
L000069,O00030,P017,1,300.00,0.00
L000070,O00030,P005,5,65.00,0.20
L000071,O00030,P023,2,68.00,0.20
L000072,O00030,P008,5,188.00,0.00
L000073,O00031,P008,4,188.00,0.20
L000074,O00032,P022,2,134.00,0.10
L000075,O00032,P017,3,300.00,0.05
L000076,O00032,P009,2,93.00,0.20
L000077,O00033,P019,4,78.00,0.20
L000078,O00033,P021,1,249.00,0.05
L000079,O00033,P017,1,300.00,0.05
L000080,O00033,P007,1,35.00,0.05
L000081,O00034,P024,5,81.00,0.20
L000082,O00035,P003,2,199.00,0.05
L000083,O00036,P019,1,78.00,0.00
L000084,O00036,P004,5,123.00,0.20
L000085,O00036,P023,4,68.00,0.10
L000086,O00036,P015,3,254.00,0.20
L000087,O00037,P004,3,123.00,0.05
