order_id,customer_id,order_date,channel,status
O00001,C0188,03/25/2025, retail , COMPLETED 
O00002,C0231,2025-08-29,Store,Completed
O00003,C0023,2025-08-08,Store,Completed
O00004,C0237,2025-11-13,Store,Completed
O00005,C0270,2025-10-16,Store,Completed
O00006,C0253,2025-10-14,Online,Cancelled
O00007,C0228,2025-11-09,Online,Completed
O00008,C0010,2025-03-17,Online,Completed
O00009,C0286,2025-11-04,Online,Completed
O00010,C0109,2025-07-03,Store,Completed
O00011,C0280,2025-10-20,Store,Completed
O00012,C0293,2025-12-02, web ,Completed
O00013,C0250,2025-05-23,Online,Completed
O00014,C0064,2025-07-10,Online,Completed
O00015,C0056,2025-08-12,Store,Completed
O00016,C0275,2025-06-01,Store,Completed
O00017,C0135,2025-09-30,Store,Completed
O00018,C0212,2025-02-24,Online,Completed
O00019,C0117,2025-11-01,Online,Completed
O00020,C0076,03/24/2025,Store,Completed
O00021,C0298,2025-09-06,Store,Completed
O00022,C0058,2025-10-21,Store,Completed
O00023,C0152,2025-03-04, web ,Completed
O00024,C0047,2025-05-10,Online, CANCELLED 
O00025,C0085,2025-12-03,Online,Completed
O00026,C0062,2025-05-16,Store,Completed
O00027,C0149,2025-05-19,Online,Completed
O00028,C0042,2025-04-22,Store,Completed
O00029,C0001,2025-11-30,Store,Completed
O00030,C0025,2025-12-11,Online,Completed
O00031,C0142,2025-11-08,Store,Completed
O00032,C0156,2025-08-06,Store,Cancelled
O00033,C0298,2025-10-26,Store,Cancelled
O00034,C0080,2025-05-28, web ,Completed
O00035,C0106,2025-01-03,Online,Completed
O00036,C0212,2025-04-16,Online,Completed
O00037,C0157,2025-06-21,Online,Completed
O00038,C0195,2025-02-27,Store,Completed
O00039,C0062,01/31/2025,Online,Completed
O00040,C0276,2025-08-08,Store,Completed
O00041,C0184,2025-10-15,Store,Cancelled
O00042,C0241,2025-06-25,Online,Completed
O00043,C0259,2025-08-14,Online,Completed
O00044,C0290,2025-10-04,Store,Completed
O00045,C0118,2025-08-25, retail ,Completed
O00046,C0208,2025-04-08,Online,Completed
O00047,C0297,2025-06-07,Store, COMPLETED 
O00048,C0143,2025-11-30,Online,Completed
O00049,C0259,2025-04-12,Store,Completed
O00050,C0256,2025-04-09,Online,Completed
O00051,C0178,2025-06-26,Store,Completed
O00052,C0198,2025-11-11,Store,Completed
O00053,C0114,2025-08-30,Store,Completed
O00054,C0174,2025-05-04,Online,Completed
O00055,C0126,2025-06-21,Store,Completed
O00056,C0130,2025-04-19, retail ,Completed
O00057,C0285,2025-08-11,Store,Completed
O00058,C0151,04/19/2025,Store,Completed
O00059,C0277,2025-06-20,Store,Completed
O00060,C0140,2025-12-08,Online,Completed
O00061,C0242,2025-10-16,Online,Completed
O00062,C0271,2025-05-22,Store,Completed
O00063,C0256,2025-06-23,Online,Completed
O00064,C0016,2025-05-25,Online,Completed
O00065,C0122,2025-12-17,Online,Completed
O00066,C0076,2025-10-06,Online,Completed
O00067,C0251,2025-08-05, web ,Completed
O00068,C0005,2025-06-29,Online,Completed
O00069,C0139,2025-12-01,Store,Completed
O00070,C0230,2025-11-15,Online, COMPLETED 
O00071,C0020,2025-02-16,Store,Completed
O00072,C0127,2025-01-01,Store,Cancelled
O00073,C0265,2025-12-04,Online,Cancelled
O00074,C0026,2025-10-23,Store,Completed
O00075,C0225,2025-11-06,Store,Completed
O00076,C0270,2025-01-02,Online,Completed
O00077,C0274,11/22/2025,Store,Cancelled
O00078,C0180,2025-09-24, web ,Completed
O00079,C0106,2025-06-15,Online,Completed
O00080,C0063,2025-08-27,Store,Completed
O00081,C0094,2025-06-05,Online,Completed
O00082,C0225,2025-04-07,Online,Completed
O00083,C0136,2025-02-08,Store,Completed
O00084,C0223,2025-06-27,Store,Completed
O00085,C0108,2025-03-27,Store,Completed
O00086,C0279,2025-01-27,Online,Completed
O00087,C0129,2025-10-13,Online,Completed
O00088,C0006,2025-04-19,Store,Completed
O00089,C0020,2025-08-12, retail ,Completed
O00090,C0111,2025-12-27,Online,Completed
O00091,C0062,2025-08-23,Store,Completed
O00092,C0028,2025-03-08,Store,Cancelled
O00093,C0179,2025-08-04,Store, COMPLETED 
O00094,C0008,2025-06-14,Store,Completed
O00095,C0235,2025-03-19,Online,Completed
O00096,C0153,10/24/2025,Online,Completed
O00097,C0132,2025-05-03,Store,Completed
O00098,C0299,2025-06-28,Online,Completed
O00099,C0117,2025-12-23,Online,Completed
O00100,C0016,2025-01-16, web ,Completed
O00101,C0025,2025-04-22,Store,Completed
O00102,C0102,2025-10-05,Store,Completed
O00103,C0017,2025-09-15,Online,Completed
O00104,C0148,2025-12-28,Online,Completed
O00105,C0225,2025-11-07,Store,Completed
O00106,C0006,2025-10-12,Store,Completed
O00107,C0069,2025-05-20,Store,Completed
O00108,C0150,2025-06-29,Store,Completed
O00109,C0300,2025-12-26,Online,Cancelled
O00110,C0025,2025-07-28,Online,Completed
O00111,C0084,2025-01-16, web ,Completed
O00112,C0107,2025-10-23,Online,Completed
O00113,C0026,2025-06-26,Store,Completed
O00114,C0074,2025-01-27,Online,Completed
O00115,C0052,01/08/2025,Online,Cancelled
O00116,C0294,2025-10-27,Online, COMPLETED 
O00117,C0288,2025-07-25,Online,Cancelled
O00118,C0027,2025-07-28,Store,Completed
O00119,C0054,2025-06-29,Online,Completed
O00120,C0102,2025-09-23,Online,Completed
O00121,C0136,2025-03-14,Online,Completed
O00122,C0094,2025-07-31, retail ,Completed
O00123,C0120,2025-06-29,Online,Completed
O00124,C0161,2025-04-12,Online,Completed
O00125,C0169,2025-01-23,Store,Completed
O00126,C0208,2025-09-29,Store,Completed
O00127,C0121,2025-05-03,Store,Cancelled
O00128,C0219,2025-08-12,Store,Cancelled
O00129,C0134,2025-02-23,Store,Cancelled
O00130,C0005,2025-09-21,Store,Completed
O00131,C0293,2025-04-24,Store,Completed
O00132,C0104,2025-07-04,Online,Completed
O00133,C0260,2025-04-06, web ,Cancelled
O00134,C0222,07/22/2025,Store,Completed
O00135,C0275,2025-05-28,Online,Completed
O00136,C0232,2025-10-17,Store,Completed
O00137,C0084,2025-11-06,Online,Completed
O00138,C0270,2025-09-05,Store,Completed
O00139,C0162,2025-11-26,Store, COMPLETED 
O00140,C0081,2025-08-11,Online,Completed
O00141,C0215,2025-01-12,Online,Completed
O00142,C0253,2025-03-14,Online,Completed
O00143,C0159,2025-01-11,Store,Cancelled
O00144,C0185,2025-08-18, web ,Completed
O00145,C0268,2025-03-17,Store,Completed
O00146,C0258,2025-03-05,Store,Completed
O00147,C0147,2025-03-23,Store,Cancelled
O00148,C0178,2025-10-05,Store,Completed
