product_id,product_name,category,list_price
P001,Lamp 001,Lighting,122.00
P002,Chair 002,Furniture,284.00
P003,Shelf 003,Storage,199.00
P004,Desk 004,Furniture,123.00
P005,Lamp 005,Lighting,65.00
P006,Chair 006,Furniture,196.00
P007,Shelf 007,Storage,35.00
P008,Desk 008,Furniture,188.00
P009,Lamp 009,Lighting,93.00
P010,Chair 010,Furniture,211.00
P011,Shelf 011,Storage,80.00
P012,Desk 012,Furniture,134.00
P013,Lamp 013,Lighting,271.00
P014,Chair 014,Furniture,294.00
P015,Shelf 015,Storage,254.00
P016,Desk 016,Furniture,231.00
P017,Lamp 017,Lighting,300.00
P018,Chair 018,Furniture,269.00
P019,Shelf 019,Storage,78.00
P020,Desk 020,Furniture,189.00
P021,Lamp 021,Lighting,249.00
P022,Chair 022,Furniture,134.00
P023,Shelf 023,Storage,68.00
P024,Desk 024,Furniture,81.00
P001,Lamp 001,Lighting,122.00
P002,Chair 002,Furniture,284.00
