return_id,order_line_id,return_date,return_quantity,reason
R00001,L000024,2025-10-21,1,Not needed
R00002,L000026,2025-11-18,1,Wrong item
R00003,L000032,2025-08-08,4,Damaged
R00004,L000045,2025-03-05,2,Damaged
R00005,L000047,2025-03-26,2,Not needed
R00006,L000052,2025-10-31,1,Wrong item
R00007,L000087,2025-07-04,1,Wrong item
R00008,L000094,2025-09-01,1,Not needed
R00009,L000116,2025-05-10,3,Damaged
R00010,L000138,2025-07-20,1,Not needed
R00011,L000158,2025-08-19,2,Damaged
R00012,L000165,2025-11-24,1,Damaged
R00013,L000166,2025-12-01,2,Wrong item
R00014,L000204,2025-03-04,3,Damaged
R00015,L000206,2025-07-14,5,Not needed
R00016,L000248,2025-09-16,2,Damaged
R00017,L000280,2025-07-03,1,Wrong item
R00018,L000309,2025-10-06,1,Wrong item
R00019,L000339,2025-11-27,2,Wrong item
R00020,L000349,2025-08-24,4,Not needed
R00021,L000371,2025-11-19,2,Wrong item
R00022,L000391,2025-06-24,1,Damaged
R00023,L000457,2025-02-14,5,Wrong item
R00024,L000464,2025-12-10,5,Wrong item
R00025,L000483,2025-09-24,2,Wrong item
R00026,L000494,2025-01-20,1,Not needed
R00027,L000504,2025-05-02,1,Wrong item
R00028,L000513,2025-02-09,2,Wrong item
R00029,L000522,2025-10-06,1,Not needed
R00030,L000531,2026-01-10,1,Damaged
R00031,L000545,2025-03-22,3,Not needed
R00032,L000560,2025-09-09,1,Damaged
R00033,L000563,2025-05-18,4,Damaged
R00034,L000568,2025-04-18,1,Damaged
R00035,L000581,2025-07-07,1,Not needed
R00036,L000583,2025-07-01,1,Not needed
R00037,L000618,2025-03-11,1,Wrong item
R00038,L000639,2025-02-06,3,Damaged
R00039,L000640,2025-02-15,2,Wrong item
R00040,L000647,2025-03-15,2,Not needed
R00041,L000649,2025-07-27,2,Not needed
R00042,L000677,2025-09-04,1,Wrong item
R00043,L000687,2025-08-05,1,Not needed
R00044,L000694,2025-11-14,3,Wrong item
R00045,L000750,2025-11-11,3,Damaged
R00046,L000760,2025-12-06,1,Wrong item
