order_line_id,order_id,product_id,quantity,unit_price,discount_rate,source_row,rejection_reason
L000001,O00001,P010,1,$211.00,20%,4448,duplicate business record (source row excluded)
L000002,O00002,P016,1,231.00,0.10,4449,duplicate business record (source row excluded)
L000003,O00003,P024,3,81.00,0.05,4450,duplicate business record (source row excluded)
L000004,O00003,P012,3,134.00,0.05,4451,duplicate business record (source row excluded)
L000005,O00003,P009,2,93.00,0.05,4452,duplicate business record (source row excluded)
L000006,O00004,P022,2,134.00,0.20,4453,duplicate business record (source row excluded)
L000007,O00004,P002,1,284.00,0.05,4454,duplicate business record (source row excluded)
L000008,O00004,P018,1,269.00,0.00,4455,duplicate business record (source row excluded)
L000009,O00005,P006,2,196.00,0.20,4456,duplicate business record (source row excluded)
L000010,O00005,P008,2,188.00,0.10,4457,duplicate business record (source row excluded)
L000011,O00005,P019,5,78.00,0.20,4458,duplicate business record (source row excluded)
L000012,O00005,P007,3,35.00,0.05,4459,duplicate business record (source row excluded)
L000013,O00006,P013,2,271.00,0.00,4460,duplicate business record (source row excluded)
L000014,O00006,P012,1,134.00,0.20,4461,duplicate business record (source row excluded)
L000015,O00006,P018,2,269.00,0.00,4462,duplicate business record (source row excluded)
L000016,O00007,P020,3,189.00,0.10,4463,duplicate business record (source row excluded)
L000017,O00007,P006,2,196.00,0.00,4464,duplicate business record (source row excluded)
L000018,O00008,P005,2,65.00,0.00,4465,duplicate business record (source row excluded)
L000019,O00008,P002,1,284.00,0.10,4466,duplicate business record (source row excluded)
L000020,O00009,P009,4,93.00,0.00,4467,duplicate business record (source row excluded)
L000021,O00009,P007,3,35.00,0.05,4468,duplicate business record (source row excluded)
L000022,O00010,P003,4,199.00,0.00,4469,duplicate business record (source row excluded)
L000023,O00011,P010,2,211.00,0.05,4470,duplicate business record (source row excluded)
L000024,O00011,P020,1,189.00,0.10,4471,duplicate business record (source row excluded)
L000025,O00011,P014,5,294.00,0.00,4472,duplicate business record (source row excluded)
